商品名称,商品分类,商品品牌,cluster_similarity
阿迪达斯三叶草男女款舒适经典运动鞋 adidas ZX 22 BOOST HQ8677,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男女「熔岩巧克力」「街球鞋」STREETBALL GX0779,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「T头鞋」阿迪达斯三叶草男女款经典运动鞋adidas GAZELLE IE3691,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方三叶草 男款印花运动上衣圆领短袖T恤 adidas HZ1155,运动户外-运动服/休闲服装-运动T恤,adidas/阿迪达斯,1
阿迪达斯官方三叶草男女款中高帮篮球鞋板鞋DROP STEP IF4323,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草男女经典运动鞋「奶包鞋」adidas NITEBALL FZ5742,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草男女经典运动鞋「奶包鞋」adidas NITEBALL H06508,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方三叶草 女款经典运动板鞋 adidas EXTABALL ID6073,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「寻光者」阿迪达斯官方 男女款网面运动鞋 SPIRITAIN 2.0 JH8026,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方三叶草 男款舒适撞色运动短裤 adidas IL2470,运动户外-运动服/休闲服装-运动裤-运动中长裤／短裤,adidas/阿迪达斯,1
「泡泡鞋」阿迪达斯官方三叶草男女经典运动鞋HI-TAIL 2.0 JI4347,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 舒适经典boost运动鞋adidas NMD_S1 W HQ4465,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「T头鞋」阿迪达斯官方三叶草男女运动板鞋GAZELLE INDOOR HQ9016,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草男女款经典休闲运动鞋 adidas ZX 22 BOOST GY6701,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「T头鞋」阿迪达斯三叶草男女款运动板鞋HANDBALL SPEZIAL IF8913,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方三叶草 男款简约舒适运动裤 adidas IL2462,运动户外-运动服/休闲服装-运动裤-运动长裤,adidas/阿迪达斯,1
阿迪达斯三叶草 男女款休闲中帮篮球板鞋adidas DROP STEP IG8532,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
adicolor FIREBIRD阿迪达斯三叶草 男春季复古穿搭运动外套IT2493,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,1
阿迪达斯三叶草亲子中帮休闲篮球鞋adidas DROP STEP XL W HQ6948,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草男女休闲篮球板鞋adidas FORUM 84 LOW AEC HP9543,运动户外-运动鞋-篮球鞋,adidas/阿迪达斯,0
阿迪达斯 男女款团队款实战篮球运动鞋adidas FRONT COURT ID8590,运动户外-运动鞋-篮球鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男款百搭休闲运动裤 adidas AU SWEATPANT HY7227,运动户外-运动服/休闲服装-运动裤-运动长裤,adidas/阿迪达斯,1
